26107927,2,29719,10,2014,310.86,0,0
34454721,0,43140,68,2015,151.82,4,6
34594198,0,13419,41,2016,0.08,0,0
34714092,0,486,3,2016,0.04,2,1
34801342,0,24956,14,2016,0.67,0,2
34890899,0,938,2,2016,0.12,1,2
35644264,0,8173,11,2016,82.38,0,0
36296760,0,7708,2,2016,0.01,1,2
37091899,0,49242,85,2016,0.09,0,0
37237245,0,5224,7,2016,61.36,0,2
37703886,0,3285,3,2016,0.03,0,0
37883129,0,487,0,2016,0.06,0,1
38088098,0,648,2,2016,0.67,0,0
38278409,0,1855,3,2016,0.77,3,0
38543850,0,34154,38,2016,7.07,4,0
38569663,0,1237,0,2016,0.11,0,2
38574068,0,1073,1,2016,1.92,0,0
38827264,0,3258,3,2016,1.97,0,0
39137597,0,6455,3,2016,0.19,2,5
39883715,0,469,0,2016,0.42,0,5
39934846,0,276,0,2016,0.06,0,2
40143019,0,1524,2,2016,0.15,0,0
40822234,0,7315,0,2016,1.4,0,0
41109652,0,3601,9,2016,1178.7,0,0
41178047,0,621,1,2016,0.19,0,0
41612057,0,16022,7,2017,0.18,0,2
41749674,0,3468,3,2017,0.98,0,2
41777019,0,253,0,2017,0.18,0,1
42147427,0,11127,8,2017,0.12,0,2
42160782,0,5103,3,2017,0.02,0,2
42809657,0,2978,6,2017,0.16,0,1
42987099,0,2905,2,2017,0.04,0,0
43065063,0,1303,2,2017,30.52,0,2
43136085,0,367,0,2017,0.07,0,0
43290364,0,1736,-1,2017,0.01,0,0
43336967,0,2146,0,2017,0.05,0,1
43396525,0,2470,1,2017,0.0,0,2
43533264,0,1220,2,2017,18.62,0,0
43784921,0,17616,26,2017,318.95,4,0
43916981,0,2900,1,2017,0.03,0,2
43967082,0,515,0,2017,0.04,0,2
44297268,0,529,1,2017,47.51,0,0
44298811,0,703,1,2017,1.67,0,1
44311244,0,277,5,2017,7.59,1,13
44430310,0,15717,11,2017,1.31,0,0
44841869,0,28677,18,2017,0.06,0,2
44992752,0,629,1,2017,0.12,4,0
45038327,0,5423,0,2017,0.05,0,2
45099554,1,1714,3,2017,179.3,0,0
45484726,0,4807,0,2017,0.01,0,2
45502264,0,651,1,2017,1.05,0,2
45525684,0,399,1,2017,0.07,1,2
45753153,0,1992,2,2017,0.54,0,1
45788433,0,214,1,2017,0.54,0,0
46021186,0,702,0,2017,0.18,0,2
46135499,0,32793,55,2017,0.57,0,0
46170814,1,6911,4,2017,66.31,0,0
